player;team;Height;Foot;Market value;position;dob
Max Watson;Mjällby AIF;1,86 m;;€500Th.;Centre-Back;1996-02-03
Neftali Benedic Manzambi;Mjällby AIF;1,79m;right;€200Th.;Centre-Forward;1997-04-23
Noah Persson;Mjällby AIF;m;;;Left Midfield;2003-07-16
Samuel Brolin;Mjällby AIF;2,02 m;;€400Th.;Goalkeeper;2000-09-29
Viktor Gustafson;Mjällby AIF;m;;€250Th.;Defensive Midfield;1995-03-22
Adama Fofana;Varbergs BoIS;1,73 m;left;€500Th.;Left-Back;1999-10-11
Albert Ejupi;Varbergs BoIS;1,91 m;;€400Th.;Central Midfield;1992-08-28
Albin Mörfelt;Varbergs BoIS;1,74 m;;€250Th.;Right Winger;2000-01-10
Albin Winbo;Varbergs BoIS;m;;€250Th.;Central Midfield;1997-10-27
Alexander Johansson;Varbergs BoIS;1,89 m;left;€200Th.;Left Winger;1995-10-30
André Boman;Varbergs BoIS;m;;€50Th.;Central Midfield;2001-11-15
Anton Liljenbäck;Varbergs BoIS;1,83 m;;€400Th.;Right Midfield;1995-02-21
August Strömberg;Varbergs BoIS;1,93 m;;€150Th.;Goalkeeper;1992-02-28
Dean Solomons;Varbergs BoIS;m;right;€50Th.;Centre-Back;1999-02-22
Des Kunst;Varbergs BoIS;1,90 m;right;€300Th.;Left Winger;1999-10-12
Gideon Mensah;Varbergs BoIS;m;;€200Th.;Centre-Back;2000-10-09
Hampus Zackrisson;Varbergs BoIS;1,89 m;right;€300Th.;Centre-Back;1994-08-24
Jean Carlos De Brito;Varbergs BoIS;1,84 m;left;€300Th.;Left Midfield;1995-06-09
Joakim Lindner;Varbergs BoIS;1,93 m;;€250Th.;Centre-Back;1991-03-22
Jon Birkfeldt;Varbergs BoIS;1,83 m;right;€500Th.;Centre-Back;1996-06-03
Luke Le Roux;Varbergs BoIS;1,80 m;;€300Th.;Central Midfield;2000-03-10
Oliver Alfonsi;Varbergs BoIS;m;;€25Th.;Right Winger;2003-06-03
Oliver Stanisic;Varbergs BoIS;1,95 m;right;€250Th.;Centre-Back;1994-02-10
Philip Mårtensson;Varbergs BoIS;1,88 m;;€150Th.;Goalkeeper;1993-09-01
Robin Simovic;Varbergs BoIS;1,99 m;right;€250Th.;Centre-Forward;1991-05-29
Robin Tranberg;Varbergs BoIS;1,86 m;right;€250Th.;Central Midfield;1993-02-02
Ryan Moon;Varbergs BoIS;1,80 m;left;€250Th.;Centre-Forward;1996-09-15
Simon Karlsson Adjei;Varbergs BoIS;1,92 m;right;€250Th.;Centre-Forward;1993-11-10
Stojan Lukic;Varbergs BoIS;1,92 m;;€50Th.;Goalkeeper;1979-12-28
Tashreeq Matthews;Varbergs BoIS;1,75 m;right;€350Th.;Left Winger;2000-09-12
Victor Karlsson;Varbergs BoIS;m;left;€100Th.;Central Midfield;2001-05-18
Agon Mehmeti;Örebro SK;1,84 m;right;€250Th.;Centre-Forward;1989-11-20
Andreas Skovgaard Larsen;Örebro SK;1,85 m;left;€700Th.;Centre-Back;1997-03-27
Anton Ingves;Örebro SK;m;;€25Th.;Central Midfield;2001-07-16
Benjamin Hjertstrand;Örebro SK;1,80 m;;€300Th.;Left-Back;1994-01-22
Bobby Allain;Örebro SK;1,85 m;right;€400Th.;Goalkeeper;1991-11-28
Daniel Björnkvist;Örebro SK;1,78 m;;€200Th.;Right-Back;1989-01-08
David Seger;Örebro SK;m;;€400Th.;Right Midfield;1999-07-15
Deniz Hümmet;Örebro SK;1,86 m;right;€500Th.;Centre-Forward;1996-09-13
Dennis Collander;Örebro SK;1,78 m;right;€500Th.;Central Midfield;2002-05-09
Erik Björndahl;Örebro SK;1,89 m;right;€200Th.;Centre-Forward;1990-07-13
Hussein Ali;Örebro SK;1,80 m;right;€500Th.;Right-Back;2002-03-01
Jake Larsson;Örebro SK;m;right;€300Th.;Left Winger;1999-01-09
Jiloan Mohamed Hamad;Örebro SK;1,73 m;right;€800Th.;Attacking Midfield;1990-11-06
Johan Mårtensson;Örebro SK;1,83 m;left;€300Th.;Defensive Midfield;1989-02-16
Kevin Adrian Wright;Örebro SK;1,69 m;left;€350Th.;Left-Back;1995-12-28
Kevin Walker;Örebro SK;1,77 m;right;€250Th.;Defensive Midfield;1989-07-21
Martin Broberg;Örebro SK;1,86 m;both;€100Th.;Right Midfield;1990-09-24
Mergim Krasniqi;Örebro SK;1,87 m;left;€200Th.;Goalkeeper;1992-08-23
Michael Almebäck;Örebro SK;1,84 m;right;€300Th.;Centre-Back;1988-04-04
Nahir Besara;Örebro SK;1,82 m;right;€600Th.;Central Midfield;1991-02-25
Nasiru Moro;Örebro SK;1,90 m;right;€200Th.;Centre-Back;1996-09-24
Niclas Bergmark;Örebro SK;1,91 m;right;€100Th.;Centre-Back;2002-01-07
Noel Milleskog;Örebro SK;m;;€100Th.;Centre-Forward;2002-05-08
Nordin Gerzic;Örebro SK;1,75 m;left;€100Th.;Central Midfield;1983-11-09
Rickard Emeka Friday;Örebro SK;1,83 m;right;€150Th.;Right Winger;2000-02-16
Romain Gall;Örebro SK;1,76 m;both;€350Th.;Right Winger;1995-01-31
Taha Abdi Ali;Örebro SK;m;right;€25Th.;Right Winger;1998-07-01
Ahmed Awad;Östersunds FK;1,81 m;;€150Th.;Centre-Forward;1992-06-01
Aly Keita;Östersunds FK;1,87 m;right;€300Th.;Goalkeeper;1986-12-08
Blair Sebastian Turgott;Östersunds FK;1,83 m;right;€500Th.;Centre-Forward;1994-05-22
Charlie Colkett;Östersunds FK;1,76 m;left;€300Th.;Central Midfield;1996-09-04
Eirik Haugan;Östersunds FK;1,85 m;right;€700Th.;Centre-Back;1997-08-27
Felix Hörberg;Östersunds FK;1,80 m;;€600Th.;Right Midfield;1999-05-19
Francis Jno-Baptiste;Östersunds FK;m;;€200Th.;Centre-Forward;1999-11-08
Frank Arhin;Östersunds FK;m;;€250Th.;Central Midfield;1999-02-16
Henrik Bellman;Östersunds FK;m;right;€300Th.;Right Midfield;1999-03-24
Isak Ssali Ssewankambo;Östersunds FK;1,81 m;right;€600Th.;Defensive Midfield;1996-02-27
Jerell Anthony Sellars;Östersunds FK;1,73 m;left;€150Th.;Left Winger;1995-12-11
Ludvig Fritzson;Östersunds FK;1,87 m;;€300Th.;Attacking Midfield;1995-08-25
Malcolm Stolt;Östersunds FK;m;;€150Th.;Central Midfield;2000-12-30
Marco Weymans;Östersunds FK;1,75 m;left;€200Th.;Left-Back;1997-07-09
Nebiyou Perry;Östersunds FK;1,82 m;both;€250Th.;Left Winger;1999-10-02
Nikolaos Dosis;Östersunds FK;1,82 m;;€150Th.;Defensive Midfield;2001-01-25
Noah Sonko Sundberg;Östersunds FK;1,87 m;right;€600Th.;Centre-Back;1996-06-06
Patrick Kpozo;Östersunds FK;1,81 m;left;€300Th.;Left-Back;1997-07-15
Ronald Mukiibi;Östersunds FK;1,88 m;;€350Th.;Centre-Back;1991-09-16
Samuel Laryea Mensiro;Östersunds FK;1,75 m;right;€200Th.;Centre-Back;1989-05-19
Sebastian Karlsson Grach;Östersunds FK;m;;€150Th.;Centre-Forward;2001-05-06
Simon Kroon;Östersunds FK;1,83 m;;€250Th.;Right Midfield;1993-06-16
Sixten Mohlin;Östersunds FK;1,89 m;right;€150Th.;Goalkeeper;1996-01-17
